M	D	C	B	N	Msc	W	M_pl	D_pl	C_pl	B_pl	N_pl	Msc_pl	W_pl
aspi	aspi	aspi	aspi	aspim	aspi	aspi	aspi	aspich	aspi	aspi	aspimi	aspich	aspi
enby	enby	enby	enby	enbym	enby	enby	enby/enbies	enbych	enby/enbies	enby/enbies	enbymi	enbych	enby/enbies
hero	hera	heru	hero	herem	rze	hero	hera	her	herom	hera	herami	herach	hera
magum	magum	magum	magum	magum	magum	magum	maga	magów	magom	maga	magami	magach	maga
rze	rza	rzu	rze	rzem	rzu	rze	rza	rzy/rzów	rzom	rza	rzami	rzach	rza
cze	cza	czu	cze	czem	czu	cze	cza	czy	czom	cza	czami	czach	cza
le	la	lu	le	lem	lu	le	la	li	lom	la	lami	lach	la
że	ża	żu	że	żem	żu	że	ża	żów/ży	żom	ża	żami	żach	ża
nie	nia	niu	nie	niem	niu	nie	nia	ń	niom	nia	niami	niach	nia
cie	cia	ciu	cie	ciem	ciu	cie	cia	ci	ciom	cia	ciami	ciach	cia
ke	ka	ku	ke	kiem	ku	ke	ka	ek	kom	ka	kami	kach	ka
je	ja	ju	je	jem	ju	je	ja	jów	jom	ja	jami	jach	ja
ko	ka	ku	ko	kiem	ku	ko	ka	ek/ków	kom	ka	kami	kach	ka
wo	wa	wu	wo	wem	wie	wo	wa	wy	wom	wa	wami	wach	wa
to	ta	tu	ta	tem	cie	to	ta	tów/t	tom	ta	tami	tach	ta
io	ia	iu	io	iem	iu	io	ia	iów	iom	ia	iami	iach	ia
jo	ja	ju	jo	jem	ju	jo	ja	jów	jom	ja	jami	jach	ja
ro	ra	rzu	ro	rem	rzu	ro	ra	ry	rom	ra	rami	rach	ra
po	pa	pu	po	pem	pu	po	pa	pów	pom	pa	pami	pach	pa
fo	fa	fu	fo	fem	fu	fo	fa	fów	fom	fa	fami	fach	fa
czo	cza	czu	czo	czem	czu	czo	cza	czy	czom	cza	czami	czach	cza
co	ca	cu	co	cem	cu	co	ca	c/ców	com	ca	cami	cach	ca
no	na	nu	no	nem	nu	no	na	nów	nom	na	nami	nach	na
lo	la	lu	lo	lem	lu	lo	la	li	lom	la	lami	lach	la
ło	ła	łu	ło	łem	łu	ło	ła	ł	łom	ła	łami	łach	ła
um	um	um	um	um	um	um	a	ów	om	a	ami	ach	a
gum	gum	gum	gum	gum	gum	gum	ża	żów/ży	żom	ża	żami	żach	ża
